gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.11542288557213931,0.001275098084468036,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,0.46478873239436624,1,0,1,0,1,0,0,0,0,0.3850746268656716,0.21586660512347106,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0.014084507042253521,1,0,1,1,0,0,0,0,1,0.35422885572139307,0.010310408492960998,1,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0.619718309859155,0,0,1,0,1,1,0,0,0,0.23930348258706463,0.21024117239787676,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.5218905472636816,0.015330025386568198,1,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0.09859154929577466,1,1,0,0,1,0,1,1,1,0.8099502487562189,0.09251096238172168,1,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0.295774647887324,1,1,0,1,0,0,1,0,1,0.7049751243781094,0.22277867528271408,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0.1267605633802817,0,0,1,0,0,0,0,0,0,0.11442786069651739,0.032667897530579276,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0.3802816901408451,1,1,0,0,1,1,1,1,1,0.8611940298507462,0.3493249480729287,1,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.3771144278606965,0.4003173321024694,0,1,0,0,0,1,0,1,0,0,0
